LOCALITY,LOCALITY_TYPE,LOCALITY_ID,LATITUDE,LONGITUDE,STATE_CODE,Number_of_checklists
Giacomini Wetlands,H,L680796,38.0660005,-122.8089738,US-CA,552
Westerly Wetlands,H,L2155703,39.7162984,-104.885788,US-CO,550
Soaring Eagle Wetland (formerly Tom Ridge Wetland),H,L1230956,40.8402797,-77.991438,US-PA,549
Chatham Co. Wetlands Preserve,H,L2754456,31.9884761,-81.2908459,US-GA,539
John James Audubon SP--Audubon Wetlands,H,L1414668,37.8917457,-87.5393242,US-KY,536
North Park--Gold Star Mothers Wetland,H,L1012077,40.593458,-80.0043297,US-PA,535
"Ash Brook wetland, Keene",H,L442904,42.9293895,-72.30021,US-NH,532
Private Wetlands,P,L12404312,40.1903,-74.525937,US-NJ,524
Fairbrook Wetlands,H,L897877,40.7281938,-77.9353863,US-PA,523
Sue's Pond--Logan River Wetlands and Shorebird Playa,H,L586105,41.7320355,-111.8809032,US-UT,520
Julie J. Metz Wetlands Bank,H,L189661,38.6055374,-77.2774351,US-VA,519
Boone Greenway--Created Wetland,H,L3088296,36.2061686,-81.6520321,US-NC,516
Clark County Wetlands Park--Duck Creek Area,H,L866201,36.0951639,-115.0187445,US-NV,513
"PCAC Wetland Overlook Trail WEST, inc. high viewing platform (0.15 mi)",P,L3031256,38.858803,-76.129036,US-MD,512
Rocky River Reservation--Little Met Wetlands,H,L2604798,41.451794,-81.8308818,US-OH,510
West Eugene Wetlands--Bike Path--Meadowlark to Bertelsen,P,L3445931,44.049798,-123.180683,US-OR,508
Nazarene Church Road Wetlands,H,L2394893,38.4168631,-79.0693545,US-VA,507
Wissahickon Valley Park--Saylor Grove Stormwater Wetland,H,L3985123,40.0296125,-75.1874065,US-PA,504
Blue Springs Lake--Fleming Park Wetland,H,L971438,39.0205174,-94.3396425,US-MO,503
Wehrspann Wetlands mitigation pond,H,L711556,41.1452466,-96.1693382,US-NE,503
Hocking River Stream Restoration and Wetland,H,L3820341,39.7291385,-82.6252717,US-OH,497
Cedar Mill Wetlands,H,L3104649,45.519647,-122.796581,US-OR,497
Wetland east of Hotel Ave.,H,L874547,42.9091974,-85.5359674,US-MI,490
Roslindale Wetlands Urban Wild Park,H,L1171746,42.2939332,-71.1317861,US-MA,481
VW Wetland,H,L1815072,35.094987,-85.1338042,US-TN,480
Saint Vincent Lake and Wetlands,H,L2395408,40.2970721,-79.4017124,US-PA,477
Lake Creek Village Wetlands,H,L2468026,39.654073,-106.6236663,US-CO,475
White Marsh Wetlands--Franklin Square Dr.,H,L1485630,39.3662483,-76.4589914,US-MD,475
Wetlands Park at Riverstone,H,L11837884,29.5549424,-95.5862689,US-TX,475
Schmeeckle Reserve—Wetlands,H,L10147348,44.5397318,-89.5532995,US-WI,473
Los Cerritos Wetlands Hellman property,P,L914293,33.7512483,-118.0984354,US-CA,466
Ocala Wetland Recharge Park,H,L9783145,29.209398,-82.1602022,US-FL,465
Curtis Road Wetlands,H,L4310136,40.0703279,-88.3239927,US-IL,465
Pracht Wetlands,H,L7018790,37.7339668,-97.4576247,US-KS,462
Brick Pond Wetland Preserve,H,L1005329,42.1067239,-76.2456751,US-NY,462
Marys River Mitigation Bank wetland,H,L11137311,44.5208411,-123.3378038,US-OR,449
AES Redondo Wetland,H,L10433887,33.8500956,-118.3931381,US-CA,448
Battelle Darby Creek Metro Park--Kuhlwein Rd. Wetlands South,H,L2379405,39.9282208,-83.2063293,US-OH,448
Damonte Ranch Wetlands,H,L506053,39.4275085,-119.7185326,US-NV,446
San Juan Wetlands,H,L1850000,26.1606244,-98.157516,US-TX,444
Quittapahilla Wetlands Preserve,H,L988119,40.3394217,-76.3953102,US-PA,440
Cutler Rd. and Dunn Rd. wetland,H,L3546007,42.3398231,-84.2580879,US-MI,439
Killbuck Wetlands,H,L157766,40.1167681,-85.6775786,US-IN,436
Conewago Recreation Trail and Wetlands,H,L900989,40.1871684,-76.6069365,US-PA,435
Goetchius Wetland Preserve (FLLT)--Flat Iron,H,L109054,42.3860243,-76.3019298,US-NY,427
16th Street N wetlands,H,L1047416,27.8705118,-82.6551676,US-FL,420
Cherry Creek SP--Wetlands Preserve,H,L4616583,39.628069,-104.8396325,US-CO,418
Concord Mills Wetland,H,L483059,35.3740045,-80.7166386,US-NC,413
Brenton Slough/Xavier Ave. wetland complex (private property),H,L3815484,41.7350293,-93.8238001,US-IA,412
"Cranberry Pond wetlands behind shopping center, W. Lebanon",H,L6207227,43.6225889,-72.3234755,US-NH,412
Olentangy Trail--Tuttle Park to Ohio State University Wetlands,H,L4501143,40.0079521,-83.0196261,US-OH,411
Auburn Middle School Wetland,H,L9798114,38.7378821,-77.7136851,US-VA,402
Wetland on Weld CR 46,H,L4595389,40.3197145,-104.7085422,US-CO,400
Kent State University--Stark Pond and Wetlands Research Area,H,L1883908,40.8665192,-81.4341545,US-OH,397
Fox Chase Pond and Wetlands,H,L5554510,39.2893724,-76.9575065,US-MD,394
Helmick Nature Preserve / Butterfield Creek Wetlands,H,L90360,41.4993211,-87.7601624,US-IL,392
Lily Lake Rd. and Hwy. 29 Wetland,H,L727583,44.4422523,-87.8503811,US-WI,387
Cache River State Natural Area--Cache River Wetlands Center,H,L3066214,37.3127471,-89.0181613,US-IL,384
Mierley wetland - by permission only.,P,L3490222,40.5811714,-77.8880453,US-PA,384
Julie J. Metz Wetland Bank--Neabsco Boardwalk,H,L9387407,38.612033,-77.2755347,US-VA,384
Augusta Springs Wetlands Trail,H,L548797,38.107699,-79.3121266,US-VA,381
McPherson Valley Wetlands WA--Little Sinkhole Marshes,H,L998142,38.2055438,-97.7479362,US-KS,379
Formosa-Tejano Wetlands (CTC 017),H,L486215,28.8240718,-96.4709473,US-TX,378
Imperial Irrigation District Wetland Project--Niland,H,L866412,33.2118848,-115.5204034,US-CA,373
Kent State University--Kent Wetlands,H,L1176818,41.1422087,-81.3318139,US-OH,373
Blue Heron WTF & Wetlands (open weekdays only),H,L1090923,28.5432114,-80.860126,US-FL,372
Saratoga Lake and Storer Wetlands,H,L1548108,41.471583,-106.7899704,US-WY,372
Davis Wetlands,H,L442170,38.5836668,-121.6371918,US-CA,371
Cove Spring Park--Wetland Trail,H,L1952915,38.2203129,-84.8551369,US-KY,370
Zoar Wetland Arboretum,H,L3706400,40.6152372,-81.4261888,US-OH,367
Pueblo Canyon WTP Outfall/Wetland (Los Alamos Co.),H,L10764560,35.881418,-106.2483659,US-NM,363
Finley Rd. Conservation Wetland,H,L1077570,44.4274055,-123.3021355,US-OR,360
EWEB wetlands,H,L1979702,44.0633762,-123.1703811,US-OR,359
Clark County Wetlands Park--Wells Trailhead,H,L4384285,36.0936376,-114.9554484,US-NV,358
Pierce Rd. Wetlands (St. Joseph Co.),H,L2743120,41.5343464,-86.4978075,US-IN,355
Stony Brook Wetlands Area,H,L365255,42.2177556,-72.5064139,US-MA,355
Mehraban Wetland Park,H,L788316,40.5355062,-111.8679186,US-UT,355
Boyack Road Near Wetlands,P,L10651358,42.8004,-73.7677,US-NY,354
White Star Park--Doug Haubert Wetland,H,L7895629,41.377007,-83.3017496,US-OH,352
Sedge Meadow Forest Preserve (Wadsworth Wetlands),H,L152734,42.4251,-87.9329,US-IL,351
Jersey Gardens Mall--Bayfront Wetlands--Restricted Access,H,L3136514,40.6592037,-74.1643989,US-NJ,347
John Bunker Sands Wetlands Ctr,H,L602507,32.6137185,-96.5008752,US-TX,345
Valley Ford Wetlands - Sonoma County,H,L785019,38.3115919,-122.9340076,US-CA,344
Mill Creek Wetlands,H,L2896764,33.9472939,-117.6166999,US-CA,344
Campbell Rd. wetland,H,L7205582,44.9609832,-85.3661137,US-MI,342
Roosevelt Wetland,H,L1009347,27.8708722,-82.6895428,US-FL,338
PennDot Wetlands,H,L1040594,40.3317587,-80.103507,US-PA,336
Chippewa Nature Center--Wetlands,H,L165453,43.5937612,-84.2899901,US-MI,333
Highbanks Metro Park--Wetlands,P,L9597027,40.139651,-83.021701,US-OH,333
Historic Bethabara Park--Wetlands,H,L358733,36.1561722,-80.3116958,US-NC,331
Dolan Wetlands (view from road),H,L4340979,39.2457812,-86.5008116,US-IN,327
McCabe Lane Wetlands,H,L1766904,38.5157289,-106.9935485,US-CO,323
Grand Teton NP--Moose Wilson Rd. wetlands overlook,H,L3811321,43.65416,-110.73764,US-WY,322
Blue Heron Nature Preserve--Emma Wetlands,H,L3959042,33.8634535,-84.3763277,US-GA,321
Dawes Arboretum--Dutch Fork Wetlands,H,L1437887,39.9944645,-82.4208635,US-OH,321
Limberlost Swamp Wetland Preserve (Adams Co.),H,L3774319,40.572794,-84.980752,US-IN,314
Minnewashta Wetland Area,P,L1096147,44.8870036,-93.6186862,US-MN,311
City of Columbia Wetland Cell #1,H,L374148,38.8925192,-92.4479556,US-MO,306
North Park--New Wetlands,H,L1002252,40.6183503,-80.0246716,US-PA,305
Gala Wetlands (restricted access),H,L2439012,37.6675163,-79.797821,US-VA,305
Swamp Road and Snake Creek Wetland Trail,H,L3505441,43.858532,-89.057409,US-WI,305
Clous and Schneider Rds. wetlands,H,L7048843,44.5995352,-85.6155968,US-MI,304
Jewell Wetlands Park,H,L341631,39.6830208,-104.8348102,US-CO,303
IP Wetlands (no public access),P,L1865408,30.4622915,-87.3852814,US-FL,302
Fairvew Park/Tollgate Wetlands,H,L2739896,42.7449786,-84.5213681,US-MI,302
Pistol Creek Wetland Center,H,L1024020,35.724324,-83.9832927,US-TN,300
Oregon State Psychiatric Hospital Wetlands,H,L5491967,44.1701617,-123.2000506,US-OR,298
Wayne National Forest--Big Bailey Wetland,H,L2693205,39.4254532,-82.1240044,US-OH,297
Kennedy Causeway Wetlands--E. side / Pk Rd 22 Exit,H,L1147536,27.6329348,-97.2344112,US-TX,295
Lake Calumet area--126th St Marsh/Hyde Lake Wetlands,H,L503243,41.667975,-87.5506496,US-IL,294
Stockton Street Wetland,P,L3136135,37.1427226,-80.5468527,US-VA,294
Topeka KSU Farm Wetland,H,L3232487,39.0768551,-95.7715666,US-KS,292
Mill Hall Wetlands,H,L1456845,41.124189,-77.498077,US-PA,292
Loop 12 Boat Launch / wetlands area,H,L1161887,32.7077415,-96.7388248,US-TX,292
Loblolly Marsh Wetland Preserve,H,L1267726,40.5548306,-85.0300598,US-IN,290
US-OH-Athens-Columbus Road Wetlands,P,L1765365,39.3452172,-82.0982391,US-OH,290
Estel Wenrick Wetlands,H,L1252190,39.8850737,-83.996315,US-OH,289
Tillamook Bay Wetlands Area,H,L1187405,45.4742764,-123.8692188,US-OR,289
"Cemetery Rd., wetlands",H,L903206,44.2347455,-73.7814331,US-NY,288
MacArthur Park and Starleaf Street seasonal wetlands,H,L603509,32.9622578,-96.955046,US-TX,288
Clay Ave. Wetland (Tessie McNamara Park),H,L584308,40.8026677,-74.1024077,US-NJ,287
Lake Wanahoo--Sediment Trap Wetlands,H,L1540350,41.2647484,-96.618282,US-NE,282
Beaverton Creek Wetlands Park,H,L1071608,45.4925702,-122.836504,US-OR,281
Jersey Village Jogging Trail Wetland,H,L6013884,29.8961472,-95.57594,US-TX,281
Saltese Wetlands,H,L4472980,47.6169256,-117.1218109,US-WA,281
Deer Creek Wildlife Area--Middle Wetland,H,L2374142,39.5664752,-83.2508969,US-OH,279
Sawmill Wetland State Education Area,H,L2797578,40.0992934,-83.0848011,US-OH,277
Yorktown Bike Path Wetlands,H,L160693,41.26906,-73.78088,US-NY,276
Beal Wetlands,H,L1543901,45.5358996,-123.1095719,US-OR,276
Valley Ford Wetlands (Marin Co.),H,L7053066,38.3108174,-122.9292226,US-CA,275
Trinity Creek Wetland Habitat,H,L1160537,43.1977773,-87.9784942,US-WI,275
Gulf Lab Rd. Wetland,H,L1060269,40.5405964,-79.835844,US-PA,274
Green Hills Farm Wetland,H,L1013320,39.2107092,-77.1827316,US-MD,273
Coonpath Rd. Wetland (view from roadside only),H,L6223351,39.7724111,-82.6876545,US-OH,272
South Hill Rd. wetlands,H,L9068269,42.5005629,-83.5956826,US-MI,271
Bailey Homestead Wetlands Preserve,H,L6595361,26.4447115,-82.0491171,US-FL,265
Trails End Park (Coburg Industrial Way Wetland),H,L10139371,44.1489433,-123.0580246,US-OR,265
Boardman Wetlands (NCPRD),H,L13262305,45.393645,-122.612836,US-OR,260
Finderne Wetlands,H,L1127569,40.5574549,-74.5887663,US-NJ,259
Sapsucker Woods--Fuller Wetlands,H,L1544410,42.4812919,-76.4510491,US-NY,257
Indreland Audubon Wetland Preserve,H,L4665721,45.681485,-111.0178714,US-MT,256
Leitner Drive/Holiday Inn Express Wetlands,H,L3558925,35.0879238,-80.8819056,US-NC,256
"GRIC--MAR-5 wetlands (access restricted, entry by permit only)",H,L8957125,33.0864736,-111.6879048,US-AZ,255
Ballona Wetlands Ecological Reserve (salt pan),H,L218129,33.9657863,-118.4442902,US-CA,255
Sarita Wetland,H,L1471155,44.977359,-93.1817346,US-MN,255
Slate Run Metro Park--Wetlands,H,L883621,39.7604929,-82.8679419,US-OH,255
Jackson Bottom Wetlands Preserve--Survey Area 1,H,L3546269,45.5022695,-122.986249,US-OR,254
Pine Brook Wetlands (Clear Lake),H,L762725,29.6057717,-95.1156964,US-TX,253
Astoria Mitigation Bank Wetlands,H,L657107,46.1533187,-123.8641548,US-OR,252
Pearson Metropark--Lallendorf Rd. Wetland,H,L4579832,41.6467802,-83.4470893,US-OH,251
Wayne National Forest--Rutherford Wetland and Anderson Nature Trail,H,L2680189,39.5085439,-82.2618484,US-OH,251
Taylor Wetlands,H,L5567043,47.0380947,-122.8527421,US-WA,249
Washoe Lake SP--Wetland Mitigation Area,H,L869558,39.2289289,-119.7928619,US-NV,248
Las Lagunas de Anza wetlands (Drive-in Ponds),H,L879018,31.3896771,-110.9557467,US-AZ,248
Dominguez Gap Wetlands,H,L4792086,33.8393561,-118.2025695,US-CA,248
Susquehanna Riverlands--Wetlands Nature Area,H,L697677,41.0777623,-76.1352723,US-PA,248
East Harbor SP--Wetlands Trail,H,L3858424,41.5491098,-82.8001005,US-OH,245
Jackson Bottom Wetlands Preserve--Survey Area 9,H,L3546346,45.5002561,-122.9839289,US-OR,243
EPA Wetland Feeder Station,P,L1932118,27.5120967,-99.5233226,US-TX,243
New World Avenue Wetlands (POW MIA Mem Pkwy),H,L4583569,30.2625886,-81.8862534,US-FL,242
wetland/forest,P,L13933873,41.6246626,-83.2704686,US-OH,242
East Sandusky Bay MetroPark--Wyandot Wetland Meadows Preserve,H,L3894032,41.4173778,-82.6213589,US-OH,242
Allegan SGA--44th St. wetland,H,L872591,42.51382,-85.97494,US-MI,241
Pelican Island--TAMUG Wetland Ctr.,H,L390660,29.3161983,-94.8211098,US-TX,241
Mill Creek Park--Newport Wetlands,H,L3491103,41.0517673,-80.6759548,US-OH,240
Roosevelt and McClelland Rds. wetland,H,L2742691,43.1594494,-84.4647516,US-MI,238
West Eugene Wetlands--Bike Path--Bertelsen to Quaker,P,L3449787,44.0465575,-123.1486763,US-OR,238
Buckner Educational Wetlands,H,L280810,39.1420977,-94.1752012,US-MO,237
Duke University--Wetland Center 'SWAMP',H,L718272,35.9897437,-78.943795,US-NC,237
Deer Creek Wildlife Area--Dick Rd. Wetland,H,L1107630,39.5786034,-83.25109,US-OH,236
Millennium Trail wetlands,H,L2255107,42.2124915,-85.5924869,US-MI,234
Novi Wetlands,H,L766466,42.507635,-83.5018873,US-MI,234
South Valley Park--Docmann Gulch wetlands,H,L2708490,39.5562266,-105.1451066,US-CO,232
Clarence Fahnestock SP--School Mtn. Road Trail and Wetlands,H,L8084188,41.4445045,-73.9123343,US-NY,232
Arlington Wetlands,H,L4339288,38.698868,-90.0408983,US-IL,231
Westlake Wetland,H,L7578615,41.4274793,-81.9431948,US-OH,231
"Hillview Rd. wetland, Danby",H,L916068,42.2828732,-76.5054578,US-NY,230
